label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,204cc763-4a69-41d4-9436-f28c5b6d6c0f,dynamic,49.6136,-10.2631,0.189892,2.605,5.162,2.0,-0.429905,50.6644,1.5708,-0.204
pedestrian,2435400d-4645-4ed5-b966-3c3271964f6b,dynamic,29.1997,-10.861,-0.360873,0.583,0.821,1.76,1.51167,31.1563,1.5708,-0.3561
car,2cdbd5fe-f4f9-47f6-b7ce-387f76627322,dynamic,31.3023,-3.08122,-0.497168,2.046,4.496,1.655,-1.57337,31.4575,1.5708,-0.0981
pedestrian,3c19f317-a030-4781-941a-5b51fb34efd0,dynamic,-4.37139,-10.1324,-1.0828,0.621,0.936,1.904,1.51167,11.0881,1.5708,-1.9781
truck,4bd5fbed-b5e3-4aff-beab-00daa3be8b07,dynamic,25.5382,-5.84295,-0.516113,2.508,5.871,2.328,-1.59222,26.2032,1.5708,-0.2249
pedestrian,5ebc3d42-1aa3-4246-b890-a8b890452541,dynamic,5.12988,-9.44335,-0.775595,0.753,0.915,1.818,1.51167,10.7747,1.5708,-1.0732
pedestrian,5f980b46-08be-490b-9954-1c5a3054f531,dynamic,-18.2518,-5.00174,-1.20532,0.646,0.98,1.807,-1.56394,18.9631,1.5708,-2.8741
pedestrian,669987e9-9da0-46b6-920b-209b37158bc2,dynamic,-21.5938,-7.69335,-1.25816,0.885,0.941,1.821,1.57137,22.9578,1.5708,-2.7993
car,6776b7a8-6fd4-4004-80cb-f6d31101be19,dynamic,-6.88268,-5.44792,-0.915933,2.63,6.409,2.399,-1.59222,8.8255,1.5708,-2.472
pedestrian,70097b27-24f0-439a-bde6-c0d8907e2109,dynamic,5.67543,-8.39595,-0.783092,0.933,1.034,2.0,1.51167,10.1644,1.5708,-0.9764
car,72db9927-462d-4c24-87db-c2bc863a7502,dynamic,50.4073,-16.9302,0.107885,2.428,5.148,1.84,-0.0263383,53.1746,1.5708,-0.324
pedestrian,76434032-de24-4b8a-a14f-45e90946750e,dynamic,-6.33229,-10.1859,-1.23919,0.643,0.771,1.766,1.49753,12.0576,1.5708,-2.127
other vehicle,965a2072-fcaf-409c-970c-9b45674d54c9,dynamic,85.4495,-6.92985,2.62512,2.847,9.966,2.801,-1.58332,85.7702,1.5708,-0.0809
pedestrian,a060116b-31bd-4a9f-8e5b-0bf91930d03d,dynamic,-16.4872,-7.54111,-1.01015,0.941,1.165,1.67,1.57137,18.1581,1.5708,-2.7126
car,b9e6c671-880f-4dd5-a43a-075cd30f8401,dynamic,-0.251783,-5.6487,-1.27338,2.155,4.851,1.68,-1.60968,5.7959,1.5708,-1.6153
pedestrian,baa15eaf-e665-44d0-9f75-00768fc9bb55,dynamic,27.6379,-12.0826,-0.767629,1.069,1.023,0.914,-0.0540891,30.1734,1.5708,-0.4121
pedestrian,d8afd8a6-21c7-4da6-af6b-0899021ee8ec,dynamic,29.3738,-10.244,-0.331986,0.759,1.003,1.794,1.51167,31.1106,1.5708,-0.3356
pedestrian,e8b85c33-be3c-4e76-8a61-5855f1c9a9bd,dynamic,-5.5096,-9.54151,-1.16051,0.659,0.906,1.78,1.51167,11.0789,1.5708,-2.0945
car,ed523f3a-4b86-41c5-acec-d75e63997a76,dynamic,-12.6713,-1.02757,-1.20143,2.292,5.062,1.81,-1.46865,12.7695,1.5708,-3.0607
pedestrian,f6cff8a4-98d3-426b-9a6a-ce50913e32e9,dynamic,5.76515,-8.98968,-0.86856,0.814,0.844,1.78,1.51167,10.7147,1.5708,-1.0006
pedestrian,03601f4c-2718-4ce0-bb60-a6e14dd53ad6,dynamic,-9.98418,7.53001,-0.957043,0.813,0.99,1.752,1.51295,12.542,1.5708,2.4954
pedestrian,1dd3d9af-7487-44d1-81fa-de136d7d6b76,dynamic,14.2536,6.39156,-0.558519,0.656,0.946,1.518,-1.59251,15.631,1.5708,0.4215
pedestrian,1e2cf8ce-dcf0-47fc-8aef-1e8147cafdc2,dynamic,-5.81644,8.395,-0.747944,0.695,0.973,1.759,1.61192,10.2404,1.5708,2.1767
